Trial,IsContained,Direction,Goal,PGreen,PRed,PTimeUp,AvgBounces,AvgTime
regular_44,regular,forward,G,0.5886,0.4044,0.007,12.474,11.58648
regular_44,regular,none,G,0.5728,0.4226,0.0046,6.9782,7.40553
regular_77,regular,forward,G,1.0,0.0,0.0,3.517,4.09512
regular_77,regular,none,G,1.0,0.0,0.0,2.0922,1.97921
regular_65,regular,forward,G,0.492,0.507,0.001,6.488,7.6891
regular_65,regular,none,G,0.2744,0.7254,0.0002,4.3568,5.17078
regular_33,regular,forward,R,0.5004,0.4984,0.0012,4.4302,6.16159
regular_33,regular,none,R,0.7586,0.2412,0.0002,3.0494,4.00641
regular_79,regular,forward,G,0.8174,0.1436,0.039,13.8698,10.06489
regular_79,regular,none,G,0.71,0.2132,0.0768,16.564,14.54781
regular_6,regular,forward,G,0.4696,0.5304,0.0,0.7972,2.85007
regular_6,regular,none,G,0.2896,0.7104,-1.11022302463e-16,2.5266,3.3955
regular_56,regular,forward,R,0.111,0.8882,0.0008,8.791,4.84932
regular_56,regular,none,R,0.1126,0.8872,0.0002,4.3656,3.85054
regular_74,regular,forward,G,0.5078,0.491,0.0012,11.4406,7.34823
regular_74,regular,none,G,0.3494,0.6504,0.0002,6.8334,5.28221
regular_35,regular,forward,G,0.3596,0.635,0.0054,4.2216,5.85145
regular_35,regular,none,G,0.422,0.5622,0.0158,6.5788,8.64145
regular_66,regular,forward,R,0.6144,0.3602,0.0254,13.4188,14.60977
regular_66,regular,none,R,0.536,0.4558,0.0082,8.8256,8.73534
regular_40,regular,forward,R,0.2926,0.7036,0.0038,4.358,7.34262
regular_40,regular,none,R,0.4724,0.5248,0.0028,3.6678,6.40642
regular_17,regular,forward,G,0.5736,0.422,0.0044,6.1446,9.88396
regular_17,regular,none,G,0.5342,0.4618,0.004,4.2468,6.53437
regular_91,regular,forward,R,0.6178,0.381,0.0012,4.0796,4.21977
regular_91,regular,none,R,0.8942,0.1024,0.0034,8.79,6.90295
regular_22,regular,forward,G,0.412,0.5866,0.0014,5.5262,7.1237
regular_22,regular,none,G,0.3678,0.6236,0.0086,32.9468,7.70173
regular_48,regular,forward,R,0.5944,0.4046,0.001,2.0056,3.25686
regular_48,regular,none,R,0.4756,0.5228,0.0016,3.624,3.35146
regular_84,regular,forward,G,0.8886,0.0876,0.0238,22.9128,14.32571
regular_84,regular,none,G,0.9006,0.0788,0.0206,23.8534,12.97966
regular_28,regular,forward,R,0.1592,0.8408,0.0,3.8438,4.52824
regular_28,regular,none,R,0.1712,0.8288,0.0,2.0858,2.73005
regular_1,regular,forward,G,0.6206,0.377,0.0024,3.2226,7.4051
regular_1,regular,none,G,0.3574,0.6382,0.0044,4.9694,7.74869
regular_50,regular,forward,R,0.5148,0.4852,-5.55111512313e-17,6.7032,6.57444
regular_50,regular,none,R,0.8168,0.1832,2.77555756156e-17,3.2702,3.71004
