Trial,Time,PRed,PGreen
RTr_Bl4_10,9.8,0.885708511,0.114291511
RTr_Bl4_10,9.9,0.876729727,0.12327031
RTr_Bl4_11,0.1,0.177093193,0.822906792
RTr_Bl4_11,0.2,0.189140707,0.810859323
RTr_Bl4_11,0.3,0.202709809,0.797290266
RTr_Bl4_11,0.4,0.217971608,0.782028377
RTr_Bl4_11,0.5,0.231587037,0.768413007
RTr_Bl4_11,0.6,0.242044866,0.757955134
RTr_Bl4_11,0.7,0.239607468,0.760392547
RTr_Bl4_11,0.8,0.231424138,0.768575847
RTr_Bl4_11,0.9,0.222908512,0.777091503
RTr_Bl4_11,1,0.21668908,0.78331089
RTr_Bl4_11,1.1,0.204594985,0.79540503
RTr_Bl4_11,1.2,0.193826199,0.806173861
RTr_Bl4_11,1.3,0.191763297,0.808236718
RTr_Bl4_11,1.4,0.184105873,0.815894127
RTr_Bl4_11,1.5,0.183841288,0.816158712
RTr_Bl4_11,1.6,0.18235296,0.81764704
RTr_Bl4_11,1.7,0.187990382,0.812009573
RTr_Bl4_11,1.8,0.18656154,0.813438475
RTr_Bl4_11,1.9,0.197033212,0.802966833
RTr_Bl4_11,2,0.20378001,0.796219945
RTr_Bl4_11,2.1,0.208566159,0.791433811
RTr_Bl4_11,2.2,0.21723111,0.782768905
RTr_Bl4_11,2.3,0.23421061,0.76578939
RTr_Bl4_11,2.4,0.248640344,0.751359642
RTr_Bl4_11,2.5,0.250913829,0.749086201
RTr_Bl4_11,2.6,0.276615441,0.723384619
RTr_Bl4_11,2.7,0.292416811,0.707583189
RTr_Bl4_11,2.8,0.300689965,0.699310064
RTr_Bl4_11,2.9,0.312199831,0.687800229
RTr_Bl4_11,3,0.33066842,0.669331551
RTr_Bl4_11,3.1,0.352788836,0.647211194
RTr_Bl4_11,3.2,0.364614755,0.635385275
RTr_Bl4_11,3.3,0.36904785,0.63095212
RTr_Bl4_11,3.4,0.381181479,0.618818462
RTr_Bl4_11,3.5,0.387944967,0.612055123
RTr_Bl4_11,3.6,0.392725676,0.607274294
RTr_Bl4_11,3.7,0.394175828,0.605824113
RTr_Bl4_11,3.8,0.389677286,0.610322773
RTr_Bl4_11,3.9,0.395354509,0.60464555
RTr_Bl4_11,4,0.388506532,0.611493468
RTr_Bl4_11,4.1,0.38038078,0.619619191
RTr_Bl4_11,4.2,0.366188437,0.633811533
RTr_Bl4_11,4.3,0.361502677,0.638497412
RTr_Bl4_11,4.4,0.366672516,0.633327484
RTr_Bl4_11,4.5,0.358832955,0.641167045
RTr_Bl4_11,4.6,0.380792379,0.619207621
RTr_Bl4_11,4.7,0.388397545,0.611602485
RTr_Bl4_11,4.8,0.393544316,0.606455684
RTr_Bl4_11,4.9,0.397691101,0.602308929
RTr_Bl4_11,5,0.390898913,0.609101117
RTr_Bl4_11,5.1,0.390907139,0.609092832
RTr_Bl4_11,5.2,0.385516912,0.614483118
RTr_Bl4_11,5.3,0.378727794,0.621272266
RTr_Bl4_11,5.4,0.37392211,0.62607795
RTr_Bl4_11,5.5,0.37243858,0.62756139
RTr_Bl4_11,5.6,0.371603012,0.628396988
RTr_Bl4_11,5.7,0.393246591,0.606753469
RTr_Bl4_11,5.8,0.390446633,0.609553277
RTr_Bl4_11,5.9,0.395240605,0.604759395
RTr_Bl4_11,6,0.414063185,0.585936844
RTr_Bl4_11,6.1,0.408111811,0.591888249
RTr_Bl4_11,6.2,0.417358041,0.582641959
RTr_Bl4_11,6.3,0.437021375,0.562978625
RTr_Bl4_11,6.4,0.421770096,0.578229845
RTr_Bl4_11,6.5,0.427273273,0.572726727
RTr_Bl4_11,6.6,0.425359011,0.574640989
RTr_Bl4_11,6.7,0.427880794,0.572119236
RTr_Bl4_11,6.8,0.434814423,0.565185547
RTr_Bl4_11,6.9,0.463892728,0.536107302
RTr_Bl4_11,7,0.472714633,0.527285397
RTr_Bl4_11,7.1,0.453403622,0.546596348
RTr_Bl4_11,7.2,0.452198833,0.547801137
