WID,Trial,TrialBase,ContainmentType,ContainmentLevel,TrialNum,GoalReachable,MotionDirection,Response,RT,TrialOrder,WasBad
A1727A5VJOZAMR:3I02618YA1QDYEKYPRKT1885Q2GPU8,complex_6_b,complex_6,complex,b,6,False,Rev,True,0.0,6,False
A1727A5VJOZAMR:3I02618YA1QDYEKYPRKT1885Q2GPU8,stopper_1_a,stopper_1,stopper,a,1,True,Fwd,True,0.269,7,False
A1727A5VJOZAMR:3I02618YA1QDYEKYPRKT1885Q2GPU8,size_1_c,size_1,size,c,1,False,None,True,0.12,8,False
A1727A5VJOZAMR:3I02618YA1QDYEKYPRKT1885Q2GPU8,porous_4_a,porous_4,porous,a,4,True,None,True,0.468,9,False
A1727A5VJOZAMR:3I02618YA1QDYEKYPRKT1885Q2GPU8,porous_1_a,porous_1,porous,a,1,False,Fwd,True,0.146,10,False
A1727A5VJOZAMR:3I02618YA1QDYEKYPRKT1885Q2GPU8,porous_5_a,porous_5,porous,a,5,False,Rev,False,0.172,11,False
A1727A5VJOZAMR:3I02618YA1QDYEKYPRKT1885Q2GPU8,size_5_c,size_5,size,c,5,False,Fwd,False,0.016,12,False
A1727A5VJOZAMR:3I02618YA1QDYEKYPRKT1885Q2GPU8,complex_2_b,complex_2,complex,b,2,True,Fwd,True,0.004,13,False
A1727A5VJOZAMR:3I02618YA1QDYEKYPRKT1885Q2GPU8,stopper_2_a,stopper_2,stopper,a,2,True,Fwd,True,0.144,14,False
A1727A5VJOZAMR:3I02618YA1QDYEKYPRKT1885Q2GPU8,porous_6_a,porous_6,porous,a,6,True,None,False,0.046,15,False
A1727A5VJOZAMR:3I02618YA1QDYEKYPRKT1885Q2GPU8,stopper_6_a,stopper_6,stopper,a,6,True,Fwd,True,0.149,16,False
A1727A5VJOZAMR:3I02618YA1QDYEKYPRKT1885Q2GPU8,complex_3_b,complex_3,complex,b,3,False,None,True,0.173,17,False
A1727A5VJOZAMR:3I02618YA1QDYEKYPRKT1885Q2GPU8,complex_1_b,complex_1,complex,b,1,True,Rev,True,0.204,18,False
A1727A5VJOZAMR:3I02618YA1QDYEKYPRKT1885Q2GPU8,porous_2_a,porous_2,porous,a,2,False,Fwd,False,0.239,19,False
A1727A5VJOZAMR:3I02618YA1QDYEKYPRKT1885Q2GPU8,complex_4_b,complex_4,complex,b,4,False,Fwd,False,0.013,20,False
A1727A5VJOZAMR:3I02618YA1QDYEKYPRKT1885Q2GPU8,porous_3_a,porous_3,porous,a,3,True,Rev,False,0.044,21,False
A1727A5VJOZAMR:3I02618YA1QDYEKYPRKT1885Q2GPU8,size_2_c,size_2,size,c,2,True,None,True,0.238,22,False
A1727A5VJOZAMR:3I02618YA1QDYEKYPRKT1885Q2GPU8,complex_5_b,complex_5,complex,b,5,False,Rev,False,0.004,23,False
A1BSA7FVVJGZ15:3IJXV6UZ1Y3T105D82Z4N0K9XPHIRL,porous_2_a,porous_2,porous,a,2,False,Fwd,False,0.253,0,False
A1BSA7FVVJGZ15:3IJXV6UZ1Y3T105D82Z4N0K9XPHIRL,complex_1_b,complex_1,complex,b,1,True,Rev,False,0.19,1,False
A1BSA7FVVJGZ15:3IJXV6UZ1Y3T105D82Z4N0K9XPHIRL,stopper_2_a,stopper_2,stopper,a,2,True,Fwd,True,0.475,2,False
A1BSA7FVVJGZ15:3IJXV6UZ1Y3T105D82Z4N0K9XPHIRL,stopper_5_a,stopper_5,stopper,a,5,False,None,False,0.383,3,False
A1BSA7FVVJGZ15:3IJXV6UZ1Y3T105D82Z4N0K9XPHIRL,porous_6_a,porous_6,porous,a,6,True,None,True,0.457,4,False
A1BSA7FVVJGZ15:3IJXV6UZ1Y3T105D82Z4N0K9XPHIRL,stopper_6_a,stopper_6,stopper,a,6,True,Fwd,False,0.131,5,False
A1BSA7FVVJGZ15:3IJXV6UZ1Y3T105D82Z4N0K9XPHIRL,size_2_c,size_2,size,c,2,True,None,True,0.565,6,False
A1BSA7FVVJGZ15:3IJXV6UZ1Y3T105D82Z4N0K9XPHIRL,porous_3_a,porous_3,porous,a,3,True,Rev,True,0.544,7,False
A1BSA7FVVJGZ15:3IJXV6UZ1Y3T105D82Z4N0K9XPHIRL,complex_3_b,complex_3,complex,b,3,False,None,True,0.292,8,False
A1BSA7FVVJGZ15:3IJXV6UZ1Y3T105D82Z4N0K9XPHIRL,complex_4_b,complex_4,complex,b,4,False,Fwd,False,0.256,9,False
A1BSA7FVVJGZ15:3IJXV6UZ1Y3T105D82Z4N0K9XPHIRL,stopper_3_a,stopper_3,stopper,a,3,True,Rev,False,0.043,10,False
A1BSA7FVVJGZ15:3IJXV6UZ1Y3T105D82Z4N0K9XPHIRL,size_6_c,size_6,size,c,6,True,Rev,True,0.412,11,False
A1BSA7FVVJGZ15:3IJXV6UZ1Y3T105D82Z4N0K9XPHIRL,size_3_c,size_3,size,c,3,False,None,False,0.214,12,False
A1BSA7FVVJGZ15:3IJXV6UZ1Y3T105D82Z4N0K9XPHIRL,complex_2_b,complex_2,complex,b,2,True,Fwd,True,0.228,13,False
A1BSA7FVVJGZ15:3IJXV6UZ1Y3T105D82Z4N0K9XPHIRL,porous_4_a,porous_4,porous,a,4,True,None,True,0.292,14,False
A1BSA7FVVJGZ15:3IJXV6UZ1Y3T105D82Z4N0K9XPHIRL,complex_5_b,complex_5,complex,b,5,False,Rev,False,0.278,15,False
A1BSA7FVVJGZ15:3IJXV6UZ1Y3T105D82Z4N0K9XPHIRL,porous_1_a,porous_1,porous,a,1,False,Fwd,False,0.182,16,False
A1BSA7FVVJGZ15:3IJXV6UZ1Y3T105D82Z4N0K9XPHIRL,size_4_c,size_4,size,c,4,True,None,True,0.199,17,False
A1BSA7FVVJGZ15:3IJXV6UZ1Y3T105D82Z4N0K9XPHIRL,stopper_1_a,stopper_1,stopper,a,1,True,Fwd,False,0.092,18,False
A1BSA7FVVJGZ15:3IJXV6UZ1Y3T105D82Z4N0K9XPHIRL,size_1_c,size_1,size,c,1,False,None,False,0.462,19,False
A1BSA7FVVJGZ15:3IJXV6UZ1Y3T105D82Z4N0K9XPHIRL,porous_5_a,porous_5,porous,a,5,False,Rev,False,0.486,20,False
A1BSA7FVVJGZ15:3IJXV6UZ1Y3T105D82Z4N0K9XPHIRL,complex_6_b,complex_6,complex,b,6,False,Rev,True,0.47,21,False
A1BSA7FVVJGZ15:3IJXV6UZ1Y3T105D82Z4N0K9XPHIRL,size_5_c,size_5,size,c,5,False,Fwd,False,0.281,22,False
A1BSA7FVVJGZ15:3IJXV6UZ1Y3T105D82Z4N0K9XPHIRL,stopper_4_a,stopper_4,stopper,a,4,False,Rev,False,0.212,23,False
A1BV685HDP73YP:333U7HK6IAZVV16E8JPKUCI5V4VDJ4,porous_6_a,porous_6,porous,a,6,True,Rev,,-1.0,0,False
A1BV685HDP73YP:333U7HK6IAZVV16E8JPKUCI5V4VDJ4,stopper_2_a,stopper_2,stopper,a,2,True,None,,-1.0,1,False
A1BV685HDP73YP:333U7HK6IAZVV16E8JPKUCI5V4VDJ4,porous_4_a,porous_4,porous,a,4,True,Rev,,-1.0,2,False
A1BV685HDP73YP:333U7HK6IAZVV16E8JPKUCI5V4VDJ4,stopper_5_a,stopper_5,stopper,a,5,False,Rev,True,0.557,3,False
A1BV685HDP73YP:333U7HK6IAZVV16E8JPKUCI5V4VDJ4,complex_2_b,complex_2,complex,b,2,True,None,False,1.748,4,False
A1BV685HDP73YP:333U7HK6IAZVV16E8JPKUCI5V4VDJ4,stopper_3_a,stopper_3,stopper,a,3,True,Fwd,True,0.008,5,False
A1BV685HDP73YP:333U7HK6IAZVV16E8JPKUCI5V4VDJ4,size_5_c,size_5,size,c,5,False,None,False,0.864,6,False
A1BV685HDP73YP:333U7HK6IAZVV16E8JPKUCI5V4VDJ4,porous_5_a,porous_5,porous,a,5,False,Fwd,False,0.493,7,False
A1BV685HDP73YP:333U7HK6IAZVV16E8JPKUCI5V4VDJ4,complex_3_b,complex_3,complex,b,3,False,Rev,False,1.155,8,False
